target,transformed_text
1,free ringtone waiting collected simply text password 85069 verify get usher britney fml free rington wait collect simpli text password 85069 verifi get usher britney fml
0,watching telugu movie wat abt u watch telugu movi wat abt u
0,see finish loads loans pay see finish load loan pay
0,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
0,please text anymore nothing else say pleas text anymor noth els say
0,okay name ur price long legal wen pick u ave x ams xx okay name ur price long legal wen pick u ave x am xx
0,still looking car buy gone 4the driving test yet still look car buy gone 4the drive test yet
0,per request melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
0,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
0,umma life vava umma love lot dear umma life vava umma love lot dear
0,thanks lot wishes birthday thanks making birthday truly memorable thank lot wish birthday thank make birthday truli memor
0,aight hit get cash aight hit get cash
0,would ip address test considering computer minecraft server would ip address test consid comput minecraft server
0,know grumpy old people mom like better lying always one play jokes know grumpi old peopl mom like better lie alway one play joke
0,dont worry guess busy dont worri guess busi
0,plural noun research plural noun research
0,going go
0,ok wif cos like 2 try new things scared u dun like mah cos u said loud ok wif co like 2 tri new thing scare u dun like mah co u said loud
1,gent trying contact last weekends draw shows prize guaranteed call claim code k52 valid 12hrs 150ppm gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm
0,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
0,entered cabin pa said happy boss felt special askd 4 lunch lunch invited apartment went enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went
1,winner u specially selected 2 receive 4 holiday flights inc speak live operator 2 claim winner u special select 2 receiv 4 holiday flight inc speak live oper 2 claim
0,goodo yes must speak friday ratio tortilla needed goodo ye must speak friday ratio tortilla need
0,hmm uncle informed paying school directly pls buy food hmm uncl inform pay school directli pl buy food
1,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir
1,urgent mobile awarded bonus caller prize final try contact u call landline 09064019788 box42wr29c 150ppm urgent mobil award bonu caller prize final tri contact u call landlin 09064019788 box42wr29c 150ppm
0,new address pairs malarky new address pair malarki
1,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app
0,going sao mu today done 12 go sao mu today done 12
0,ìï predict wat time finish buying ìï predict wat time finish buy
0,good stuff good stuff
0,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis
0,room room
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,k k much cost k k much cost
0,home home
0,dear call accomodate dear call accomod
0,first answer question first answer question
1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron
1,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 150p want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 150p
0,haf msn yijue haf msn yiju
0,call meet call meet
0,check rooms befor activities check room befor activ
1,rcv msgs chat svc free hardcore services text go 69988 u get nothing u must age verify yr network try rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri
0,got c lazy type forgot lect saw pouch like v nice got c lazi type forgot lect saw pouch like v nice
0,k text way k text way
0,sir waiting mail sir wait mail
0,swt thought get tired little things 4 lovable persons coz somtimes little things occupy biggest part hearts gud ni8 swt thought get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8
0,know pls open back know pl open back
0,yes see ya dot ye see ya dot
0,whats staff name taking class us what staff name take class us
1,freemsg replied text randy sexy female live local luv hear netcollex ltd 08700621170150p per msg reply stop end freemsg repli text randi sexi femal live local luv hear netcollex ltd 08700621170150p per msg repli stop end
0,call check life begin qatar pls pray hard call check life begin qatar pl pray hard
0,k deleted contact k delet contact
0,sindu got job birla soft sindu got job birla soft
0,wine flowing nevering wine flow never
0,yup thk cine better cos need 2 go 2 plaza mah yup thk cine better co need 2 go 2 plaza mah
0,ok ur typical reply ok ur typic repli
0,per request melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one
0,aaooooright work aaooooright work
0,leaving house leav hous
0,hello love get interview today happy good boy think missing hello love get interview today happi good boy think miss
1,customer service annoncement new years delivery waiting please call 07046744435 arrange delivery custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri
1,winner u specially selected 2 receive cash 4 holiday flights inc speak live operator 2 claim 0871277810810 winner u special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 0871277810810
0,keep safe need miss already envy everyone see real life keep safe need miss alreadi envi everyon see real life
0,new car house parents new job hand new car hous parent new job hand
0,love excited day spend make happy love excit day spend make happi
1,stop bootydelious inviting friend reply see stop send stop frnd 62468 stop bootydeli invit friend repli see stop send stop frnd 62468
1,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile menu bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil menu
0,place ur points e cultures module already place ur point e cultur modul alreadi
1,urgent trying contact last weekends draw shows prize guaranteed call claim code s89 valid 12hrs urgent tri contact last weekend draw show prize guarante call claim code s89 valid 12hr
0,hi frnd best way avoid missunderstding wit beloved one hi frnd best way avoid missunderstd wit belov one
0,great escape fancy bridge needs lager see tomo great escap fanci bridg need lager see tomo
0,yes completely form clark also utter waste ye complet form clark also utter wast
0,sir need axis bank account bank address sir need axi bank account bank address
0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
0,time coming later time come later
0,bloody hell cant believe forgot surname mr ill give u clue spanish begins bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
0,well gon na finish bath good fine night well gon na finish bath good fine night
0,let know got money carlos make call let know got money carlo make call
0,u still going mall u still go mall
0,turns friends staying whole show wo back til lt gt feel free go ahead smoke lt gt worth turn friend stay whole show wo back til lt gt feel free go ahead smoke lt gt worth
0,text doesnt reply let know log text doesnt repli let know log
0,hi spoke maneesha like know satisfied experience reply toll free yes hi spoke maneesha like know satisfi experi repli toll free ye
0,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend lift hope offer money need especi end month approach hurt studi anyway gr8 weekend
0,lol u trust lol u trust
0,gentleman treat dignity respect gentleman treat digniti respect
0,guys close guy close
0,going nothing go noth
0,hello handsome finding job lazy working towards getting back net mummy boytoy miss hello handsom find job lazi work toward get back net mummi boytoy miss
0,haha awesome minute haha awesom minut
1,please call customer service representative freephone 0808 145 4742 guaranteed cash prize pleas call custom servic repres freephon 0808 145 4742 guarante cash prize
0,got xmas radio times get got xma radio time get
0,jus reached home go bathe first sis using net tell u finishes k ju reach home go bath first si use net tell u finish k
1,unique enough find 30th august uniqu enough find 30th august
0,sorry joined league people dont keep touch mean great deal friend times even great personal cost great sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great
0,hi finally completed course hi final complet cours
0,stop however suggest stays someone able give ors every stool stop howev suggest stay someon abl give or everi stool
0,hope settled new school year wishin gr8 day hope settl new school year wishin gr8 day
0,gud mrng dear hav nice day gud mrng dear hav nice day
0,u got persons story u got person stori
0,hamster dead hey tmr meet 1pm orchard mrt hamster dead hey tmr meet 1pm orchard mrt
0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
0,found enc lt gt found enc lt gt
0,sent lt gt bucks sent lt gt buck
0,hello darlin ive finished college txt u finish u love kate xxx hello darlin ive finish colleg txt u finish u love kate xxx
0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt
0,goodmorning sleeping ga goodmorn sleep ga
0,u call alter 11 ok u call alter 11 ok
0,ìï say like dat dun buy ericsson oso oredi lar ìï say like dat dun buy ericsson oso oredi lar
0,entered cabin pa said happy boss felt special askd 4 lunch lunch invited apartment went enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went
0,aight yo dats straight dogg aight yo dat straight dogg
0,please give us connection today lt decimal gt refund bill pleas give us connect today lt decim gt refund bill
0,shoot big loads get ready shoot big load get readi
0,bruv hope great break rewarding semester bruv hope great break reward semest
0,home always chat home alway chat
0,k k good study well k k good studi well
0,yup noe leh yup noe leh
0,sounds great home sound great home
0,finally match heading towards draw prediction final match head toward draw predict
0,tired slept well past nights tire slept well past night
0,easy ah sen got selected means good easi ah sen got select mean good
0,take exam march 3 take exam march 3
0,yeah think use gt atm register sure anyway help let know sure ready yeah think use gt atm regist sure anyway help let know sure readi
0,ok prob take ur time ok prob take ur time
0,os called ubandu run without installing hard disk use os copy important files system give repair shop os call ubandu run without instal hard disk use os copi import file system give repair shop
0,sorry call later sorri call later
0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
1,500 new mobiles 2004 must go txt nokia 89545 collect today 2optout 500 new mobil 2004 must go txt nokia 89545 collect today 2optout
0,would really appreciate call need someone talk would realli appreci call need someon talk
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign horo aries u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign horo ari
0,hey company elama po mudyadhu hey compani elama po mudyadhu
0,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi
0,dear good morning dear good morn
0,get gandhipuram walk cross cut road right side lt gt street road turn first right get gandhipuram walk cross cut road right side lt gt street road turn first right
0,dear going rubber place dear go rubber place
0,sorry battery died yeah sorri batteri die yeah
0,yes tv always available work place ye tv alway avail work place
1,text meet someone sexy today u find date even flirt join 4 10p reply name age eg sam 25 18 recd thirtyeight pence text meet someon sexi today u find date even flirt join 4 10p repli name age eg sam 25 18 recd thirtyeight penc
0,printed oh lt gt come upstairs print oh lt gt come upstair
0,ill little closer like bus stop street ill littl closer like bu stop street
0,wil reach wil reach
0,new theory argument wins situation loses person dont argue ur friends kick amp say always correct new theori argument win situat lose person dont argu ur friend kick amp say alway correct
1,u 447801259231 secret admirer looking 2 make contact r reveal thinks ur 09058094597 u 447801259231 secret admir look 2 make contact r reveal think ur 09058094597
0,tomarrow final hearing laptop case cant tomarrow final hear laptop case cant
0,pleassssssseeeeee tel v avent done sportsx pleassssssseeeee tel v avent done sportsx
0,okay shining meant signing sounds better okay shine meant sign sound better
0,although told u dat baig face watches really like e watch u gave cos fr thanx 4 everything dat u done today touched although told u dat baig face watch realli like e watch u gave co fr thanx 4 everyth dat u done today touch
0,u remember old commercial u rememb old commerci
0,late said website dont slippers late said websit dont slipper
0,asked call ok ask call ok
0,kallis wont bat 2nd innings kalli wont bat 2nd inning
0,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep didnt work oh ok goodnight fix readi time wake dearli miss good night sleep
1,congratulations ur awarded 500 cd vouchers 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc
0,ranjith cal drpd deeraj deepak 5min hold ranjith cal drpd deeraj deepak 5min hold
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da
0,
0,ups 3days also shipping company takes 2wks way usps takes week gets lag may bribe nipost get stuff up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff
0,back lem know ready back lem know readi
0,necessarily expect done get back though headin necessarili expect done get back though headin
0,mmm yummy babe nice jolt suzy mmm yummi babe nice jolt suzi
0,lover need lover need
1,tried contact reply offer video handset 750 anytime networks mins unlimited text camcorder reply call 08000930705 tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705
0,parked next mini coming today think park next mini come today think
0,yup yup
0,anyway going shopping cos sis done yet dun disturb u liao anyway go shop co si done yet dun disturb u liao
0,luton 0125698789 ring ur around h luton 0125698789 ring ur around h
1,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698 hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698
0,dint come us dint come us
0,wana plan trip sometme wana plan trip sometm
0,sure yet still trying get hold sure yet still tri get hold
1,ur ringtone service changed 25 free credits go choose content stop txt club stop 87070 club4 po box1146 mk45 2wt ur rington servic chang 25 free credit go choos content stop txt club stop 87070 club4 po box1146 mk45 2wt
0,evo download flash jealous evo download flash jealou
1,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge rington club get uk singl chart mobil week choos top qualiti rington messag free charg
0,come mu sorting narcotics situation come mu sort narcot situat
0,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay
1,hmv bonus special 500 pounds genuine hmv vouchers answer 4 easy questions play send hmv 86688 info hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 info
0,usf guess might well take 1 car usf guess might well take 1 car
0,objection bf coming object bf come
0,thanx thanx
0,tell rob mack gf theater tell rob mack gf theater
0,awesome see bit awesom see bit
0,sent type food like sent type food like
0,done handed celebrations full swing yet done hand celebr full swing yet
0,got called tool got call tool
0,u miss someone u miss someon
0,asked money far ask money far
0,okie oki
0,yeah think usual guy still passed last night get ahold anybody let know throw yeah think usual guy still pass last night get ahold anybodi let know throw
0,k might come tonight class lets early k might come tonight class let earli
0,ok ok
0,hi baby im cruisin girl friend r u 2 give call hour home thats alright fone fone love jenny xxx hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx
0,life means lot love life love people life world calls friends call world ge life mean lot love life love peopl life world call friend call world ge
0,dear shall mail street shall update looking edukkukayee raksha good one real sense dear shall mail street shall updat look edukkukaye raksha good one real sens
0,hey told name gautham ah hey told name gautham ah
0,haf u found feel stupid da v cam working haf u found feel stupid da v cam work
0,oops 4 got bit oop 4 got bit
0,much buzy much buzi
0,accidentally deleted message resend please accident delet messag resend pleas
1,customer may claim free camera phone upgrade pay go sim card loyalty call 0845 021 ends c apply custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 end c appli
0,unless situation go gurl would appropriate unless situat go gurl would appropri
0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,cant pick phone right pls send message cant pick phone right pl send messag
0,need coffee run tomo ca believe time week already need coffe run tomo ca believ time week alreadi
0,awesome remember last time got somebody high first time diesel v awesom rememb last time got somebodi high first time diesel v
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi shit realli shock scari cant imagin second def night u think somewher could crash night save taxi
0,oh way food fridge want go meal tonight oh way food fridg want go meal tonight
0,womdarfull actor womdarful actor
1,sms ac blind date 4u rodds1 aberdeen united kingdom check http sms blind dates send hide sm ac blind date 4u rodds1 aberdeen unit kingdom check http sm blind date send hide
0,yup remb think book yup remb think book
0,jos ask u wana meet jo ask u wana meet
0,lol yes friendship hanging thread cause u wo buy stuff lol ye friendship hang thread caus u wo buy stuff
1,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap 82468 themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468
0,garage keys bookshelf garag key bookshelf
0,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi
1,think ur smart win week weekly quiz text play 85222 cs winnersclub po box 84 m26 3uz think ur smart win week weekli quiz text play 85222 cs winnersclub po box 84 m26 3uz
0,says give call friend got money definitely buying end week say give call friend got money definit buy end week
0,hi way u 2day normal way real ur unique hope know u 4 rest mylife hope u find wot lost hi way u 2day normal way real ur uniqu hope know u 4 rest mylif hope u find wot lost
0,made day great day made day great day
0,advance happy pongal advanc happi pongal
0,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
0,really dude friends afraid realli dude friend afraid
1,december mobile entitled update latest colour camera mobile free call mobile update co free 08002986906 decemb mobil entitl updat latest colour camera mobil free call mobil updat co free 08002986906
0,coffee cake guess coffe cake guess
0,merry christmas babe love ya kisses merri christma babe love ya kiss
0,hey dont go watch x men lunch haha hey dont go watch x men lunch haha
0,cud u tell ppl im gona b bit l8 cos 2 buses hav gon past cos full im still waitin 4 pete x cud u tell ppl im gona b bit l8 co 2 buse hav gon past co full im still waitin 4 pete x
0,would great guild could meet bristol road somewhere get touch weekend plans take flight good week would great guild could meet bristol road somewher get touch weekend plan take flight good week
0,problem problem
0,calls messages missed calls call messag miss call
0,hi da todays class hi da today class
0,say good sign well know track record reading women say good sign well know track record read women
0,cool text parked cool text park
0,reading text sent meant joke read light read text sent meant joke read light
0,apo movie apo movi
0,maybe could get book tomo return immediately something mayb could get book tomo return immedi someth
1,call germany 1 pence per minute call fixed line via access number 0844 861 85 prepayment direct access call germani 1 penc per minut call fix line via access number 0844 861 85 prepay direct access
0,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor
1,valentines day special win quiz take partner trip lifetime send go 83600 rcvd valentin day special win quiz take partner trip lifetim send go 83600 rcvd
0,home babe still home babe still
0,cool come havent wined dined cool come havent wine dine
0,sleeping surfing sleep surf
0,sorry call later sorri call later
0,u calling right call hand phone u call right call hand phone
0,ok great thanx lot ok great thanx lot
0,take post come must 1000s texts happy reading one wiv hello caroline end favourite bless take post come must 1000 text happi read one wiv hello carolin end favourit bless
0,u hiding stranger u hide stranger
0,interested like interest like
0,sister cleared two round birla soft yesterday sister clear two round birla soft yesterday
0,gudnite tc practice going gudnit tc practic go
0,dis yijue jus saw ur mail case huiming havent sent u num dis num di yiju ju saw ur mail case huim havent sent u num di num
0,one small prestige problem one small prestig problem
1,fancy shag txt xxuk suzy txts cost per msg tncs website x fanci shag txt xxuk suzi txt cost per msg tnc websit x
0,checking really miss seeing jeremiah great month check realli miss see jeremiah great month
0,nah ca help never iphone nah ca help never iphon
0,car hour half going apeshit car hour half go apeshit
0,today sorry ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good today sorri ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good
0,yo guys ever figure much need alcohol jay trying figure much safely spend weed yo guy ever figur much need alcohol jay tri figur much safe spend weed
0,lt gt ish minutes 5 minutes ago wtf lt gt ish minut 5 minut ago wtf
0,thank say happy onam fine remembered met insurance qatar insha ex tata aig joined tissco tayseer thank say happi onam fine rememb met insur qatar insha ex tata aig join tissco tayseer
1,congratulations ur awarded 500 cd vouchers 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc
